🔹 Multiquadro válido #1 encontrado no índice: 195
Quadro 01: TS16 = 10001000 | b0=1 b1=0 b4=1 b5=0
Quadro 02: TS16 = 01001100 | b0=0 b1=1 b4=1 b5=1
Quadro 03: TS16 = 11000000 | b0=1 b1=1 b4=0 b5=0
Quadro 04: TS16 = 00001100 | b0=0 b1=0 b4=1 b5=1
Quadro 05: TS16 = 11001100 | b0=1 b1=1 b4=1 b5=1
Quadro 06: TS16 = 00000000 | b0=0 b1=0 b4=0 b5=0
Quadro 07: TS16 = 10000100 | b0=1 b1=0 b4=0 b5=1
Quadro 08: TS16 = 01001000 | b0=0 b1=1 b4=1 b5=0
Quadro 09: TS16 = 10001100 | b0=1 b1=0 b4=1 b5=1
Quadro 10: TS16 = 01000000 | b0=0 b1=1 b4=0 b5=0
Quadro 11: TS16 = 11000100 | b0=1 b1=1 b4=0 b5=1
Quadro 12: TS16 = 00001000 | b0=0 b1=0 b4=1 b5=0
Quadro 13: TS16 = 10000000 | b0=1 b1=0 b4=0 b5=0
Quadro 14: TS16 = 01001100 | b0=0 b1=1 b4=1 b5=1
Quadro 15: TS16 = 11001000 | b0=1 b1=1 b4=1 b5=0
Quadro 16: TS16 = 00000100 | b0=0 b1=0 b4=0 b5=1

🔹 Multiquadro válido #2 encontrado no índice: 5819
Quadro 01: TS16 = 10001000 | b0=1 b1=0 b4=1 b5=0
Quadro 02: TS16 = 01001100 | b0=0 b1=1 b4=1 b5=1
Quadro 03: TS16 = 11000000 | b0=1 b1=1 b4=0 b5=0
Quadro 04: TS16 = 00001100 | b0=0 b1=0 b4=1 b5=1
Quadro 05: TS16 = 11001100 | b0=1 b1=1 b4=1 b5=1
Quadro 06: TS16 = 00000000 | b0=0 b1=0 b4=0 b5=0
Quadro 07: TS16 = 10000100 | b0=1 b1=0 b4=0 b5=1
Quadro 08: TS16 = 01001000 | b0=0 b1=1 b4=1 b5=0
Quadro 09: TS16 = 10001100 | b0=1 b1=0 b4=1 b5=1
Quadro 10: TS16 = 01000000 | b0=0 b1=1 b4=0 b5=0
Quadro 11: TS16 = 11000100 | b0=1 b1=1 b4=0 b5=1
Quadro 12: TS16 = 00001000 | b0=0 b1=0 b4=1 b5=0
Quadro 13: TS16 = 10000000 | b0=1 b1=0 b4=0 b5=0
Quadro 14: TS16 = 01001100 | b0=0 b1=1 b4=1 b5=1
Quadro 15: TS16 = 11001000 | b0=1 b1=1 b4=1 b5=0
Quadro 16: TS16 = 00000100 | b0=0 b1=0 b4=0 b5=1

🔹 Multiquadro válido #3 encontrado no índice: 10697
Quadro 01: TS16 = 01000100 | b0=0 b1=1 b4=0 b5=1
Quadro 02: TS16 = 00100110 | b0=0 b1=0 b4=0 b5=1
Quadro 03: TS16 = 01100000 | b0=0 b1=1 b4=0 b5=0
Quadro 04: TS16 = 00000110 | b0=0 b1=0 b4=0 b5=1
Quadro 05: TS16 = 01100110 | b0=0 b1=1 b4=0 b5=1
Quadro 06: TS16 = 00000000 | b0=0 b1=0 b4=0 b5=0
Quadro 07: TS16 = 01000010 | b0=0 b1=1 b4=0 b5=0
Quadro 08: TS16 = 00100100 | b0=0 b1=0 b4=0 b5=1
Quadro 09: TS16 = 01000110 | b0=0 b1=1 b4=0 b5=1
Quadro 10: TS16 = 00100000 | b0=0 b1=0 b4=0 b5=0
Quadro 11: TS16 = 01100010 | b0=0 b1=1 b4=0 b5=0
Quadro 12: TS16 = 00000100 | b0=0 b1=0 b4=0 b5=1
Quadro 13: TS16 = 01000000 | b0=0 b1=1 b4=0 b5=0
Quadro 14: TS16 = 00100110 | b0=0 b1=0 b4=0 b5=1
Quadro 15: TS16 = 01100100 | b0=0 b1=1 b4=0 b5=1
Quadro 16: TS16 = 00000010 | b0=0 b1=0 b4=0 b5=0

🔹 Multiquadro válido #4 encontrado no índice: 16322
Quadro 01: TS16 = 10001000 | b0=1 b1=0 b4=1 b5=0
Quadro 02: TS16 = 00100110 | b0=0 b1=0 b4=0 b5=1
Quadro 03: TS16 = 01100000 | b0=0 b1=1 b4=0 b5=0
Quadro 04: TS16 = 00000110 | b0=0 b1=0 b4=0 b5=1
Quadro 05: TS16 = 01100110 | b0=0 b1=1 b4=0 b5=1
Quadro 06: TS16 = 00000000 | b0=0 b1=0 b4=0 b5=0
Quadro 07: TS16 = 01000010 | b0=0 b1=1 b4=0 b5=0
Quadro 08: TS16 = 00100100 | b0=0 b1=0 b4=0 b5=1
Quadro 09: TS16 = 01000110 | b0=0 b1=1 b4=0 b5=1
Quadro 10: TS16 = 00100000 | b0=0 b1=0 b4=0 b5=0
Quadro 11: TS16 = 01100010 | b0=0 b1=1 b4=0 b5=0
Quadro 12: TS16 = 00000100 | b0=0 b1=0 b4=0 b5=1
Quadro 13: TS16 = 00000001 | b0=0 b1=0 b4=0 b5=0
Quadro 14: TS16 = 00000000 | b0=0 b1=0 b4=0 b5=0
Quadro 15: TS16 = 00000000 | b0=0 b1=0 b4=0 b5=0
Quadro 16: TS16 = 00000000 | b0=0 b1=0 b4=0 b5=0

🔹 Multiquadro válido #5 encontrado no índice: 21180
Quadro 01: TS16 = 00001000 | b0=0 b1=0 b4=1 b5=0
Quadro 02: TS16 = 11001000 | b0=1 b1=1 b4=1 b5=0
Quadro 03: TS16 = 00001000 | b0=0 b1=0 b4=1 b5=0
Quadro 04: TS16 = 10001000 | b0=1 b1=0 b4=1 b5=0
Quadro 05: TS16 = 01001000 | b0=0 b1=1 b4=1 b5=0
Quadro 06: TS16 = 10001000 | b0=1 b1=0 b4=1 b5=0
Quadro 07: TS16 = 00001000 | b0=0 b1=0 b4=1 b5=0
Quadro 08: TS16 = 11001000 | b0=1 b1=1 b4=1 b5=0
Quadro 09: TS16 = 00001000 | b0=0 b1=0 b4=1 b5=0
Quadro 10: TS16 = 10001000 | b0=1 b1=0 b4=1 b5=0
Quadro 11: TS16 = 01001000 | b0=0 b1=1 b4=1 b5=0
Quadro 12: TS16 = 10001000 | b0=1 b1=0 b4=1 b5=0
Quadro 13: TS16 = 00001000 | b0=0 b1=0 b4=1 b5=0
Quadro 14: TS16 = 11001000 | b0=1 b1=1 b4=1 b5=0
Quadro 15: TS16 = 00001000 | b0=0 b1=0 b4=1 b5=0
Quadro 16: TS16 = 10001000 | b0=1 b1=0 b4=1 b5=0

🔹 Multiquadro válido #6 encontrado no índice: 26047
Quadro 01: TS16 = 00001000 | b0=0 b1=0 b4=1 b5=0
Quadro 02: TS16 = 11001000 | b0=1 b1=1 b4=1 b5=0
Quadro 03: TS16 = 00001000 | b0=0 b1=0 b4=1 b5=0
Quadro 04: TS16 = 10001000 | b0=1 b1=0 b4=1 b5=0
Quadro 05: TS16 = 01001000 | b0=0 b1=1 b4=1 b5=0
Quadro 06: TS16 = 10001000 | b0=1 b1=0 b4=1 b5=0
Quadro 07: TS16 = 00001000 | b0=0 b1=0 b4=1 b5=0
Quadro 08: TS16 = 11001000 | b0=1 b1=1 b4=1 b5=0
Quadro 09: TS16 = 00001000 | b0=0 b1=0 b4=1 b5=0
Quadro 10: TS16 = 10001000 | b0=1 b1=0 b4=1 b5=0
Quadro 11: TS16 = 01001000 | b0=0 b1=1 b4=1 b5=0
Quadro 12: TS16 = 10001000 | b0=1 b1=0 b4=1 b5=0
Quadro 13: TS16 = 00001000 | b0=0 b1=0 b4=1 b5=0
Quadro 14: TS16 = 11001000 | b0=1 b1=1 b4=1 b5=0
Quadro 15: TS16 = 00001000 | b0=0 b1=0 b4=1 b5=0
Quadro 16: TS16 = 10001000 | b0=1 b1=0 b4=1 b5=0

🔹 Multiquadro válido #7 encontrado no índice: 30962
Quadro 01: TS16 = 00001000 | b0=0 b1=0 b4=1 b5=0
Quadro 02: TS16 = 11001000 | b0=1 b1=1 b4=1 b5=0
Quadro 03: TS16 = 00001000 | b0=0 b1=0 b4=1 b5=0
Quadro 04: TS16 = 10001000 | b0=1 b1=0 b4=1 b5=0
Quadro 05: TS16 = 01001000 | b0=0 b1=1 b4=1 b5=0
